HGNC.symbol,MGI.symbol,HGNC.symbol,Chromosome.scaffold.name,Gene.start..bp.
PITPNM2,Pitpnm2,PITPNM2,5,124118690
PITPNM1,Pitpnm1,PITPNM1,19,4099998
PITPNB,Pitpnb,PITPNB,5,111330763
PITPNA,Pitpna,PITPNA,11,75588097
PITHD1,Pithd1,PITHD1,4,135975460
PIRT,Pirt,PIRT,11,66911981
LILRB5,Pirb,LILRB5,7,3711409
LILRA6,Pirb,LILRA6,7,3711409
LILRB4,Pirb,LILRB4,7,3711409
LILRA5,Pirb,LILRA5,7,3711409
LILRB3,Pirb,LILRB3,7,3711409
LILRA4,Pirb,LILRA4,7,3711409
LILRB5,Pira2,LILRB5,7,3836812
LILRA6,Pira2,LILRA6,7,3836812
LILRB4,Pira2,LILRB4,7,3836812
LILRA5,Pira2,LILRA5,7,3836812
LILRB3,Pira2,LILRB3,7,3836812
LILRA4,Pira2,LILRA4,7,3836812
PIR,Pir,PIR,X,164269371
PIPOX,Pipox,PIPOX,11,77880615
PIP5KL1,Pip5kl1,PIP5KL1,2,32574797
PIP5K1C,Pip5k1c,PIP5K1C,10,81292963
PIP5K1B,Pip5k1b,PIP5K1B,19,24294794
PIP5K1A,Pip5k1a,PIP5K1A,3,95058530
PIP4K2C,Pip4k2c,PIP4K2C,10,127197067
PIP4K2B,Pip4k2b,PIP4K2B,11,97715157
PIP4K2A,Pip4k2a,PIP4K2A,2,18842255
PIP,Pip,PIP,6,41847535
PINX1,Pinx1,PINX1,14,63860364
PINLYP,Pinlyp,PINLYP,7,24541658
PINK1,Pink1,PINK1,4,138313409
PIN4,Pin4,PIN4,X,102119447
PIN1,Pin1rt1,PIN1,2,104713926
PIN1,Pin1,PIN1,9,20652095
PIMREG,Pimreg,PIMREG,11,72042032
PIM3,Pim3,PIM3,15,88862186
PIM2,Pim2,PIM2,X,7878262
PIM1,Pim1,PIM1,17,29490753
PILRA,Pilrb2,PILRA,5,137865827
PILRB,Pilrb2,PILRB,5,137865827
PILRA,Pilrb1,PILRA,5,137852147
PILRB,Pilrb1,PILRB,5,137852147
PILRA,Pilra,PILRA,5,137821952
PILRB,Pilra,PILRB,5,137821952
PIKFYVE,Pikfyve,PIKFYVE,1,65186683
PIK3R6,Pik3r6,PIK3R6,11,68503019
PIK3R5,Pik3r5,PIK3R5,11,68432121
PIK3R4,Pik3r4,PIK3R4,9,105642978
PIK3R3,Pik3r3,PIK3R3,4,116221618
PIK3R2,Pik3r2,PIK3R2,8,70768176
PIK3R1,Pik3r1,PIK3R1,13,101680563
PIK3IP1,Pik3ip1,PIK3IP1,11,3330401
PIK3CG,Pik3cg,PIK3CG,12,32173473
PIK3CD,Pik3cd,PIK3CD,4,149649168
PIK3CB,Pik3cb,PIK3CB,9,99036654
PIK3CA,Pik3ca,PIK3CA,3,32397671
PIK3C3,Pik3c3,PIK3C3,18,30272747
PIK3C2G,Pik3c2g,PIK3C2G,6,139587221
PIK3C2B,Pik3c2b,PIK3C2B,1,133045667
PIK3C2A,Pik3c2a,PIK3C2A,7,116337265
PIK3AP1,Pik3ap1,PIK3AP1,19,41274218
PIH1D3,Pih1h3b,PIH1D3,X,140062879
PIH1D3,Pih1d3,PIH1D3,1,31222838
PIH1D2,Pih1d2,PIH1D2,9,50617321
PIH1D1,Pih1d1,PIH1D1,7,45154303
PIGY,Pigyl,PIGY,9,22156846
PIGX,Pigx,PIGX,16,32084416
PIGW,Pigw,PIGW,11,84876315
PIGV,Pigv,PIGV,4,133660387
PIGU,Pigu,PIGU,2,155278243
PIGT,Pigt,PIGT,2,164497520
PIGS,Pigs,PIGS,11,78328415
PIGR,Pigr,PIGR,1,130826684
PIGQ,Pigq,PIGQ,17,25926421
PIGP,Pigp,PIGP,16,94358763
PIGO,Pigo,PIGO,4,43017635
PIGN,Pign,PIGN,1,105518422
PIGM,Pigm,PIGM,1,172376546
PIGL,Pigl,PIGL,11,62458460
PIGK,Pigk,PIGK,3,152714100
PIGH,Pigh,PIGH,12,79080664
PIGG,Pigg,PIGG,5,108312609
PIGF,Pigf,PIGF,17,86997256
PIGC,Pigc,PIGC,1,161969186
PIGB,Pigb,PIGB,9,73007419
PIGA,Piga,PIGA,X,164419787
PIFO,Pifo,PIFO,3,105996957
PIF1,Pif1,PIF1,9,65587160
PIEZO2,Piezo2,PIEZO2,18,63010213
PIEZO1,Piezo1,PIEZO1,8,122481698
PIDD1,Pidd1,PIDD1,7,141438113
PID1,Pid1,PID1,1,84036296
PICK1,Pick1,PICK1,15,79229173
PICALM,Picalm,PICALM,7,90130213
PIBF1,Pibf1,PIBF1,14,99099424
PIAS4,Pias4,PIAS4,10,81153266
PIAS3,Pias3,PIAS3,3,96696384
PIAS2,Pias2,PIAS2,18,77065208
PIAS1,Pias1,PIAS1,9,62878368
PIANP,Pianp,PIANP,6,124996694
PI4KB,Pi4kb,PI4KB,3,94974731
PI4KA,Pi4ka,PI4KA,16,17280351
PI4K2B,Pi4k2b,PI4K2B,5,52741574
PI4K2A,Pi4k2a,PI4K2A,19,42090435
PI16,Pi16,PI16,17,29317680
PI15,Pi15,PI15,1,17601901
PHYKPL,Phykpl,PHYKPL,11,51584757
PHYHIPL,Phyhipl,PHYHIPL,10,70557682
PHYHIP,Phyhip,PHYHIP,14,70457476
PHYHD1,Phyhd1,PHYHD1,2,30266203
PHYH,Phyh,PHYH,2,4919019
PHTF2,Phtf2,PHTF2,5,20758663
PHTF1,Phtf1,PHTF1,3,103968110
PHRF1,Phrf1,PHRF1,7,141228784
PHPT1,Phpt1,PHPT1,2,25573430
PHOX2B,Phox2b,PHOX2B,5,67094399
PHOX2A,Phox2a,PHOX2A,7,101818313
PHOSPHO2,Phospho2,PHOSPHO2,2,69789623
PHOSPHO1,Phospho1,PHOSPHO1,11,95824499
PHLPP2,Phlpp2,PHLPP2,8,109868542
PHLPP1,Phlpp1,PHLPP1,1,106171752
PHLDB3,Phldb3,PHLDB3,7,24610763
PHLDB2,Phldb2,PHLDB2,16,45746243
PHLDB1,Phldb1,PHLDB1,9,44686304
PHLDA3,Phlda3,PHLDA3,1,135766119
PHLDA2,Phlda2,PHLDA2,7,143501545
PHLDA1,Phlda1,PHLDA1,10,111506286
PHKG2,Phkg2,PHKG2,7,127573340
PHKG1,Phkg1,PHKG1,5,129863421
PHKB,Phkb,PHKB,8,85840959
PHKA2,Phka2,PHKA2,X,160502166
PHKA1,Phka1,PHKA1,X,102513975
PHIP,Phip,PHIP,9,82866159
PHGDH,Phgdh,PHGDH,3,98313170
PHF8,Phf8,PHF8,X,151520672
PHF7,Phf7,PHF7,14,31237689
PHF6,Phf6,PHF6,X,52912266
PHF5A,Phf5a,PHF5A,15,81864520
PHF3,Phf3,PHF3,1,30802339
PHF24,Phf24,PHF24,4,42916660
PHF23,Phf23,PHF23,11,69995777
PHF21B,Phf21b,PHF21B,15,84785381
PHF21A,Phf21a,PHF21A,2,92093117
PHF20L1,Phf20l1,PHF20L1,15,66577560
PHF20,Phf20,PHF20,2,156196466
PHF2,Phf2,PHF2,13,48801750
PHF19,Phf19,PHF19,2,34893757
PHF14,Phf14,PHF14,6,11907809
PHF13,Phf13,PHF13,4,151989633
PHF12,Phf12,PHF12,11,77982754
PHF11,Phf11d,PHF11,14,59347407
PHF11,Phf11c,PHF11,14,59380833
PHF11,Phf11b,PHF11,14,59320964
PHF11,Phf11a,PHF11,14,59276913
PHF10,Phf10,PHF10,17,14945009
PHF1,Phf1,PHF1,17,26933127
PHEX,Phex,PHEX,X,157162075
PHC3,Phc3,PHC3,3,30899371
PHC2,Phc2,PHC2,4,128654702
PHC1,Phc1,PHC1,6,122317731
PHB2,Phb2,PHB2,6,124712336
PHB,Phb,PHB,11,95666957
PHAX,Phax,PHAX,18,56562443
PHACTR4,Phactr4,PHACTR4,4,132355923
PHACTR3,Phactr3,PHACTR3,2,178118975
PHACTR2,Phactr2,PHACTR2,10,13207717
PHACTR1,Phactr1,PHACTR1,13,42680623
PGS1,Pgs1,PGS1,11,117986292
PGRMC2,Pgrmc2,PGRMC2,3,41066326
PGRMC1,Pgrmc1,PGRMC1,X,36598206
PGR,Pgr,PGR,9,8899833
PGPEP1L,Pgpep1l,PGPEP1L,7,68236610
PGPEP1,Pgpep1,PGPEP1,8,70646435
PGP,Pgp,PGP,17,24470392
PGM5,Pgm5,PGM5,19,24683016
PGM3,Pgm3,PGM3,9,86554377
PGM2L1,Pgm2l1,PGM2L1,7,100227394
PGM2,Pgm2,PGM2,5,64092950
PGM1,Pgm1,PGM1,4,99929414
PGLYRP4,Pglyrp4,PGLYRP4,3,90726906
PGLYRP3,Pglyrp3,PGLYRP3,3,92014583
PGLYRP2,Pglyrp2,PGLYRP2,17,32413100
PGLYRP1,Pglyrp1,PGLYRP1,7,18871331
PGLS,Pgls,PGLS,8,71592176
PGK2,Pgk2,PGK2,17,40207015
PGK1,Pgk1,PGK1,X,106187100
PGGT1B,Pggt1b,PGGT1B,18,46239949
PGGHG,Pgghg,PGGHG,7,140941391
PGF,Pgf,PGF,12,85166635
PGD,Pgd,PGD,4,149149991
PGC,Pgc,PGC,17,47726842
PGBD5,Pgbd5,PGBD5,8,124369049
PGBD1,Pgbd1,PGBD1,13,21421275
PGAP3,Pgap3,PGAP3,11,98388677
PGAP2,Pgap2,PGAP2,7,102210208
PGAP1,Pgap1,PGAP1,1,54472994
PGAM5,Pgam5,PGAM5,5,110259130
PGAM2,Pgam2,PGAM2,11,5801640
PGAM4,Pgam1,PGAM4,19,41911871
PGAM1,Pgam1,PGAM1,19,41911871
MPEG1,Pfpl,MPEG1,19,12427905
PFN4,Pfn4,PFN4,12,4769022
PFN3,Pfn3,PFN3,13,55414688
PFN2,Pfn2,PFN2,3,57841895
PFN1,Pfn1,PFN1,11,70651850
PFKP,Pfkp,PFKP,13,6579768
PFKM,Pfkm,PFKM,15,98092589
PFKL,Pfkl,PFKL,10,77986947
PFKFB4,Pfkfb4,PFKFB4,9,108991778
PFKFB3,Pfkfb3,PFKFB3,2,11471433
PFKFB2,Pfkfb2,PFKFB2,1,130689182
PFKFB1,Pfkfb1,PFKFB1,X,150588229
PFDN6,Pfdn6,PFDN6,17,33938821
PFDN5,Pfdn5,PFDN5,15,102326116
PFDN4,Pfdn4,PFDN4,2,170496428
PFDN2,Pfdn2,PFDN2,1,171345670
PFDN1,Pfdn1,PFDN1,18,36403679
PFAS,Pfas,PFAS,11,68985697
PEX7,Pex7,PEX7,10,19853900
PEX6,Pex6,PEX6,17,46711463
PEX5L,Pex5l,PEX5L,3,32949408
PEX5,Pex5,PEX5,6,124396816
PEX3,Pex3,PEX3,10,13523842
PEX26,Pex26,PEX26,6,121183667
PEX2,Pex2,PEX2,3,5560188
PEX19,Pex19,PEX19,1,172126755
PEX16,Pex16,PEX16,2,92374676
PEX14,Pex14,PEX14,4,148960535
PEX13,Pex13,PEX13,11,23646479
PEX12,Pex12,PEX12,11,83294642
PEX11G,Pex11g,PEX11G,8,3457105
PEX11B,Pex11b,PEX11B,3,96635376
PEX11A,Pex11a,PEX11A,7,79735957
PEX10,Pex10,PEX10,4,155067016
PEX1,Pex1,PEX1,5,3596066
DCAF8L1,Pet2,DCAF8L1,X,89403848
DCAF8L2,Pet2,DCAF8L2,X,89403848
PET117,Pet117,PET117,2,144368996
PET100,Pet100,PET100,8,3621548
PES1,Pes1,PES1,11,3963975
PERP,Perp,PERP,10,18845020
PERM1,Perm1,PERM1,4,156215868
PER3,Per3,PER3,4,151003652
PER2,Per2,PER2,1,91415982
PER1,Per1,PER1,11,69095217
PEPD,Pepd,PEPD,7,34912379
PENK,Penk,PENK,4,4133531
PEMT,Pemt,PEMT,11,59970614
PELP1,Pelp1,PELP1,11,70392883
PELO,Pelo,PELO,13,115088355
PELI3,Peli3,PELI3,19,4930651
PELI2,Peli2,PELI2,14,48120823
PELI1,Peli1,PELI1,11,21091291
PEG3,Peg3,PEG3,7,6703892
FRAT1,Peg12,FRAT1,7,62461871
PEG10,Peg10,PEG10,6,4747306
PEF1,Pef1,PEF1,4,130102558
PECR,Pecr,PECR,1,72259167
PECAM1,Pecam1,PECAM1,11,106654217
PEBP4,Pebp4,PEBP4,14,69840420
PEAR1,Pear1,PEAR1,3,87747890
PEAK1,Peak1,PEAK1,9,56201126
PEA15,Pea15a,PEA15,1,172196728
PDZRN4,Pdzrn4,PDZRN4,15,92396881
PDZRN3,Pdzrn3,PDZRN3,6,101149609
PDZK1IP1,Pdzk1ip1,PDZK1IP1,4,115088708
PDZK1,Pdzk1,PDZK1,3,96829284
PDZD9,Pdzd9,PDZD9,7,120658731
PDZD8,Pdzd8,PDZD8,19,59296084
PDZD7,Pdzd7,PDZD7,19,45026906
PDZD4,Pdzd4,PDZD4,X,73793359
PDZD3,Pdzd3,PDZD3,9,44247307
PDZD2,Pdzd2,PDZD2,15,12359711
PDZD11,Pdzd11,PDZD11,X,100622883
PDYN,Pdyn,PDYN,2,129686565
PDXP,Pdxp,PDXP,15,78913919
PDXK,Pdxk,PDXK,10,78436744
PDXDC1,Pdxdc1,PDXDC1,16,13833148
PDX1,Pdx1,PDX1,5,147269959
PDSS2,Pdss2,PDSS2,10,43221486
PDSS1,Pdss1,PDSS1,2,22895522
PDS5B,Pds5b,PDS5B,5,150673739
PDS5A,Pds5a,PDS5A,5,65605721
PDRG1,Pdrg1,PDRG1,2,153008890
PDPR,Pdpr,PDPR,8,111094630
PDPN,Pdpn,PDPN,4,143267431
PDPK1,Pdpk1,PDPK1,17,24073680
PDP2,Pdp2,PDP2,8,104591451
PDP1,Pdp1,PDP1,4,11958184
PDLIM7,Pdlim7,PDLIM7,13,55495795
PDLIM5,Pdlim5,PDLIM5,3,142239590
PDLIM4,Pdlim4,PDLIM4,11,54054928
PDLIM3,Pdlim3,PDLIM3,8,45885461
PDLIM2,Pdlim2,PDLIM2,14,70164218
PDLIM1,Pdlim1,PDLIM1,19,40221173
PDK4,Pdk4,PDK4,6,5483351
PDK3,Pdk3,PDK3,X,93764607
PDK2,Pdk2,PDK2,11,95026258
PDK1,Pdk1,PDK1,2,71873224
PDILT,Pdilt,PDILT,7,119486587
PDIK1L,Pdik1l,PDIK1L,4,134275002
PDIA6,Pdia6,PDIA6,12,17266545
PDIA5,Pdia5,PDIA5,16,35397312
PDIA4,Pdia4,PDIA4,6,47796141
PDIA3,Pdia3,PDIA3,2,121413775
PDIA2,Pdia2,PDIA2,17,26195999
PDHX,Pdhx,PDHX,2,103021075
PDHB,Pdhb,PDHB,14,8165996
PDHA2,Pdha2,PDHA2,3,141210004
PDHA1,Pdha1,PDHA1,X,160122209
PDGFRL,Pdgfrl,PDGFRL,8,40926212
PDGFRB,Pdgfrb,PDGFRB,18,61045150
PDGFRA,Pdgfra,PDGFRA,5,75152292
PDGFD,Pdgfd,PDGFD,9,6168584
PDGFC,Pdgfc,PDGFC,3,81036416
PDGFB,Pdgfb,PDGFB,15,79995874
PDGFA,Pdgfa,PDGFA,5,138976014
PDF,Pdf,PDF,8,107044698
PDE9A,Pde9a,PDE9A,17,31386234
PDE8B,Pde8b,PDE8B,13,95024454
PDE8A,Pde8a,PDE8A,7,81213596
PDE7B,Pde7b,PDE7B,10,20398004
PDE7A,Pde7a,PDE7A,3,19223108
PDE6H,Pde6h,PDE6H,6,136923832
PDE6G,Pde6g,PDE6G,11,120447605
PDE6D,Pde6d,PDE6D,1,86542994
PDE6C,Pde6c,PDE6C,19,38132781
PDE6B,Pde6b,PDE6B,5,108388391
PDE6A,Pde6a,PDE6A,18,61220482
PDE5A,Pde5a,PDE5A,3,122728947
PDE4DIP,Pde4dip,PDE4DIP,3,97689824
PDE4D,Pde4d,PDE4D,13,108449948
PDE4C,Pde4c,PDE4C,8,70723720
PDE4B,Pde4b,PDE4B,4,102087543
PDE4A,Pde4a,PDE4A,9,21165714
PDE3B,Pde3b,PDE3B,7,114415281
PDE3A,Pde3a,PDE3A,6,141249269
PDE2A,Pde2a,PDE2A,7,101421691
PDE1C,Pde1c,PDE1C,6,56069804
PDE1B,Pde1b,PDE1B,15,103503034
PDE1A,Pde1a,PDE1A,2,79834453
PDE12,Pde12,PDE12,14,26659958
PDE11A,Pde11a,PDE11A,2,75989141
PDE10A,Pde10a,PDE10A,17,8525372
PDCL3,Pdcl3,PDCL3,1,38985608
PDCL2,Pdcl2,PDCL2,5,76312115
PDCL,Pdcl,PDCL,2,37350074
PDCD7,Pdcd7,PDCD7,9,65346104
PDCD6,Pdcd6,PDCD6,13,74303509
PDCD5,Pdcd5,PDCD5,7,35641982
PDCD4,Pdcd4,PDCD4,19,53892231
PDCD2L,Pdcd2l,PDCD2L,7,34184499
PDCD2,Pdcd2,PDCD2,17,15519208
PDCD1LG2,Pdcd1lg2,PDCD1LG2,19,29410919
PDCD11,Pdcd11,PDCD11,19,47090766
PDCD10,Pdcd10,PDCD10,3,75516490
PDCD1,Pdcd1,PDCD1,1,94038305
PDC,Pdc,PDC,1,150319417
PDAP1,Pdap1,PDAP1,5,145128769
PCYT2,Pcyt2,PCYT2,11,120610087
PCYT1B,Pcyt1b,PCYT1B,X,93654863
PCYT1A,Pcyt1a,PCYT1A,16,32430921
PCYOX1L,Pcyox1l,PCYOX1L,18,61696837
PCYOX1,Pcyox1,PCYOX1,6,86386006
PC,Pcx,PC,19,4510472
PCTP,Pctp,PCTP,11,89982665
PCSK9,Pcsk9,PCSK9,4,106442329
PCSK7,Pcsk7,PCSK7,9,45906497
PCSK6,Pcsk6,PCSK6,7,65861734
PCSK5,Pcsk5,PCSK5,19,17432832
PCSK4,Pcsk4,PCSK4,10,80321283
PCSK2,Pcsk2,PCSK2,2,143546156
PCSK1N,Pcsk1n,PCSK1N,X,7919822
PCSK1,Pcsk1,PCSK1,13,75089826
PCP4L1,Pcp4l1,PCP4L1,1,171173262
PCP4,Pcp4,PCP4,16,96467606
PCP2,Pcp2,PCP2,8,3623371
PCOLCE2,Pcolce2,PCOLCE2,9,95637601
PCOLCE,Pcolce,PCOLCE,5,137605103
PCNX4,Pcnx4,PCNX4,12,72536383
PCNX3,Pcnx3,PCNX3,19,5664635
PCNX2,Pcnx2,PCNX2,8,125751508
PCNX1,Pcnx,PCNX1,12,81860023
PCNT,Pcnt,PCNT,10,76351263
PCNP,Pcnp,PCNP,16,56007245
PCNA,Pcna-ps2,PCNA,19,9283238
PCNA,Pcna,PCNA,2,132249162
PCMTD2,Pcmtd2,PCMTD2,2,181837854
PCMTD1,Pcmtd1,PCMTD1,1,7088920
PCMT1,Pcmt1,PCMT1,10,7629373
PCM1,Pcm1,PCM1,8,41239752
PCLO,Pclo,PCLO,5,14514918
PCLAF,Pclaf,PCLAF,9,65890237
PCK2,Pck2,PCK2,14,55540266
PCK1,Pck1,PCK1,2,173153048
PCIF1,Pcif1,PCIF1,2,164879304
PCID2,Pcid2,PCID2,8,13077189
PCGF6,Pcgf6,PCGF6,19,47033619
PCGF5,Pcgf5,PCGF5,19,36348309
PCGF3,Pcgf3,PCGF3,5,108461232
PCGF2,Pcgf2,PCGF2,11,97688823
PCGF1,Pcgf1,PCGF1,6,83077869
PCF11,Pcf11,PCF11,7,92643543
PCED1B,Pced1b,PCED1B,15,97247107
PCED1A,Pced1a,PCED1A,2,130417247
PCDHGC5,Pcdhgc5,PCDHGC5,18,37819513
PCDHGC4,Pcdhgc4,PCDHGC4,18,37815079
PCDHGC3,Pcdhgc3,PCDHGC3,18,37806364
PCDHGB7,Pcdhgb7,PCDHGB7,18,37751600
PCDHGB6,Pcdhgb6,PCDHGB6,18,37742094
PCDHGB5,Pcdhgb5,PCDHGB5,18,37731009
PCDHGB4,Pcdhgb4,PCDHGB4,18,37720369
PCDHGB2,Pcdhgb2,PCDHGB2,18,37689828
PCDHGB1,Pcdhgb1,PCDHGB1,18,37680233
PCDHGA9,Pcdhga9,PCDHGA9,18,37736936
PCDHGA8,Pcdhga8,PCDHGA8,18,37725706
PCDHGA7,Pcdhga7,PCDHGA7,18,37714764
PCDHGA6,Pcdhga6,PCDHGA6,18,37707039
PCDHGA5,Pcdhga5,PCDHGA5,18,37694380
PCDHGA4,Pcdhga4,PCDHGA4,18,37685210
PCDHGA3,Pcdhga3,PCDHGA3,18,37674307
PCDHGA2,Pcdhga2,PCDHGA2,18,37668953
PCDHGA12,Pcdhga12,PCDHGA12,18,37765580
PCDHGA11,Pcdhga11,PCDHGA11,18,37755731
PCDHGA10,Pcdhga10,PCDHGA10,18,37746993
PCDHGA1,Pcdhga1,PCDHGA1,18,37661793
PCDHB4,Pcdhb9,PCDHB4,18,37400855
PCDHB5,Pcdhb8,PCDHB5,18,37355121
PCDHB4,Pcdhb7,PCDHB4,18,37341702
PCDHB5,Pcdhb6,PCDHB5,18,37333921
PCDHB4,Pcdhb5,PCDHB4,18,37320381
PCDHB5,Pcdhb4,PCDHB5,18,37307455
PCDHB3,Pcdhb3,PCDHB3,18,37300799
PCDHB15,Pcdhb22,PCDHB15,18,37517871
PCDHB14,Pcdhb20,PCDHB14,18,37504264
PCDHB2,Pcdhb2,PCDHB2,18,37294812
PCDHB11,Pcdhb19,PCDHB11,18,37496991
PCDHB12,Pcdhb19,PCDHB12,18,37496991
PCDHB10,Pcdhb18,PCDHB10,18,37489465
PCDHB9,Pcdhb18,PCDHB9,18,37489465
PCDHB16,Pcdhb17,PCDHB16,18,37484795
PCDHB13,Pcdhb16,PCDHB13,18,37477814
PCDHB7,Pcdhb15,PCDHB7,18,37473540
PCDHB6,Pcdhb13,PCDHB6,18,37442500
PCDHB5,Pcdhb12,PCDHB5,18,37435621
PCDHB5,Pcdhb11,PCDHB5,18,37421418
PCDHB5,Pcdhb10,PCDHB5,18,37411664
PCDHB1,Pcdhb1,PCDHB1,18,37264938
PCDHAC2,Pcdhac2,PCDHAC2,18,37143503
PCDHAC1,Pcdhac1,PCDHAC1,18,37090013
PCDHA10,Pcdha9,PCDHA10,18,36997880
PCDHA9,Pcdha8,PCDHA9,18,36992371
PCDHA7,Pcdha8,PCDHA7,18,36992371
PCDHA9,Pcdha7,PCDHA9,18,36973802
PCDHA7,Pcdha7,PCDHA7,18,36973802
PCDHA8,Pcdha6,PCDHA8,18,36967631
PCDHA6,Pcdha6,PCDHA6,18,36967631
PCDHA5,Pcdha5,PCDHA5,18,36960440
PCDHA4,Pcdha4,PCDHA4,18,36952648
PCDHA3,Pcdha3,PCDHA3,18,36946105
PCDHA2,Pcdha2,PCDHA2,18,36939205
PCDHA13,Pcdha12,PCDHA13,18,37020149
PCDHA11,Pcdha11,PCDHA11,18,37010712
PCDHA4,Pcdha11,PCDHA4,18,37005203
PCDHA1,Pcdha1,PCDHA1,18,36930184
PCDH9,Pcdh9,PCDH9,14,93013410
PCDH8,Pcdh8,PCDH8,14,79766775
PCDH7,Pcdh7,PCDH7,5,57717967
PCDH20,Pcdh20,PCDH20,14,88464743
PCDH19,Pcdh19,PCDH19,X,133582860
PCDH18,Pcdh18,PCDH18,3,49743296
PCDH17,Pcdh17,PCDH17,14,84443563
PCDH15,Pcdh15,PCDH15,10,73099342
PCDH12,Pcdh12,PCDH12,18,38267092
PCDH11X,Pcdh11x,PCDH11X,X,120290259
PCDH11Y,Pcdh11x,PCDH11Y,X,120290259
PCDH10,Pcdh10,PCDH10,3,45378398
PCDH1,Pcdh1,PCDH1,18,38185914
PCCB,Pccb,PCCB,9,100982032
PCCA,Pcca,PCCA,14,122534324
PCBP4,Pcbp4,PCBP4,9,106453291
PCBP3,Pcbp3,PCBP3,10,76761857
PCBP2,Pcbp2,PCBP2,15,102470539
PCBP1,Pcbp1,PCBP1,6,86524492
PCBD2,Pcbd2,PCBD2,13,55727368
PCBD1,Pcbd1,PCBD1,10,61089331
PBXIP1,Pbxip1,PBXIP1,3,89436706
PBX4,Pbx4,PBX4,8,69832491
PBX3,Pbx3,PBX3,2,34171457
PBX2,Pbx2,PBX2,17,34591266
PBX1,Pbx1,PBX1,1,168119364
PBRM1,Pbrm1,PBRM1,14,31019138
PEBP1,Pbp2,PEBP1,6,135309127
PBLD,Pbld2,PBLD,10,63024315
PBLD,Pbld1,PBLD,10,63060162
PBK,Pbk,PBK,14,65805837
PBDC1,Pbdc1,PBDC1,X,105079756
PAXX,Paxx,PAXX,2,25455141
PAXIP1,Paxip1,PAXIP1,5,27740080
PAXBP1,Paxbp1,PAXBP1,16,91014037
PAX9,Pax9,PAX9,12,56691767
PAX8,Pax8,PAX8,2,24420560
PAX7,Pax7,PAX7,4,139737062
PAX6,Pax6,PAX6,2,105668900
PAX5,Pax5,PAX5,4,44524757
PAX4,Pax4,PAX4,6,28442334
PAX3,Pax3,PAX3,1,78101267
PAX2,Pax2,PAX2,19,44756045
PAX1,Pax1,PAX1,2,147361925
PAWR,Pawr,PAWR,10,108332121
PATZ1,Patz1,PATZ1,11,3288874
PATL2,Patl2,PATL2,2,122120108
PATL1,Patl1,PATL1,19,11912399
PATJ,Patj,PATJ,4,98395785
PATE4,Pate4,PATE4,9,35607093
PATE3,Pate3,PATE3,9,35645113
PATE2,Pate2,PATE2,9,35570284
PATE1,Pate1,PATE1,9,35685079
PASK,Pask,PASK,1,93308770
PARVG,Parvg,PARVG,15,84324026
PARVB,Parvb,PARVB,15,84232043
PARVA,Parva,PARVA,7,112427505
PARS2,Pars2,PARS2,4,106651069
PARPBP,Parpbp,PARPBP,10,88091432
PARP9,Parp9,PARP9,16,35938470
PARP8,Parp8,PARP8,13,116854820
PARP6,Parp6,PARP6,9,59617284
PARP4,Parp4,PARP4,14,56575619
PARP3,Parp3,PARP3,9,106470322
PARP2,Parp2,PARP2,14,50807841
PARP16,Parp16,PARP16,9,65195353
PARP14,Parp14,PARP14,16,35832874
PARP12,Parp12,PARP12,6,39086410
PARP11,Parp11,PARP11,6,127446840
PARP10,Parp10,PARP10,15,76231174
PARP1,Parp1,PARP1,1,180568924
PARN,Parn,PARN,16,13537960
PARM1,Parm1,PARM1,5,91517615
PARL,Parl,PARL,16,20279818
PARK7,Park7,PARK7,4,150897133
PARG,Parg,PARG,14,32201949
PARD6G,Pard6g,PARD6G,18,80046895
PARD6B,Pard6b,PARD6B,2,168081004
PARD6A,Pard6a,PARD6A,8,105701148
PARD3B,Pard3b,PARD3B,1,61638824
PARD3,Pard3,PARD3,8,127063893
PAQR9,Paqr9,PAQR9,9,95559657
PAQR8,Paqr8,PAQR8,1,20890606
PAQR7,Paqr7,PAQR7,4,134496697
PAQR6,Paqr6,PAQR6,3,88364584
PAQR5,Paqr5,PAQR5,9,61953481
PAQR4,Paqr4,PAQR4,17,23736186
PAQR3,Paqr3,PAQR3,5,97082329
PAPSS2,Papss2,PAPSS2,19,32620005
PAPSS1,Papss1,PAPSS1,3,131564768
PAPPA2,Pappa2,PAPPA2,1,158711727
PAPPA,Pappa,PAPPA,4,65124174
PAPOLG,Papolg,PAPOLG,11,23862646
PAPOLB,Papolb,PAPOLB,5,142525838
PAPOLA,Papola,PAPOLA,12,105784694
PAPLN,Papln,PAPLN,12,83763634
PAOX,Paox,PAOX,7,140115799
PANX3,Panx3,PANX3,9,37659902
PANX2,Panx2,PANX2,15,89059734
PANX1,Panx1,PANX1,9,15002128
PANK4,Pank4,PANK4,4,154964123
PANK3,Pank3,PANK3,11,35769484
PANK2,Pank2,PANK2,2,131262495
PANK1,Pank1,PANK1,19,34810894
PAN3,Pan3,PAN3,5,147430161
PAN2,Pan2,PAN2,10,128303335
PAMR1,Pamr1,PAMR1,2,102550012
PAM16,Pam16,PAM16,16,4616464
PAM,Pam,PAM,1,97795114
PALMD,Palmd,PALMD,3,116918258
PALM3,Palm3,PALM3,8,84021471
PALM2,Palm2,PALM2,4,57434247
PALM,Palm,PALM,10,79793572
PALLD,Palld,PALLD,8,61511433
PALD1,Pald1,PALD1,10,61319656
