Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
TSHB,Thyroid Stimulating Hormone Beta,Protein Coding,49,GC01P115029,1.7,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHB
LGALS4,Galectin 4,Protein Coding,44,GC19M038920,1.7,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS4
SF1,Splicing Factor 1,Protein Coding,44,GC11M064764,1.69,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF1
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,59,GC19M041301,1.69,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
NR2F1,Nuclear Receptor Subfamily 2 Group F Member 1,Protein Coding,52,GC05P093583,1.68,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2F1
PRLR,Prolactin Receptor,Protein Coding,55,GC05M035084,1.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRLR
LGR4,Leucine Rich Repeat Containing G Protein-Coupled Receptor 4,Protein Coding,45,GC11M027345,1.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGR4
DGKE,Diacylglycerol Kinase Epsilon,Protein Coding,54,GC17P056834,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGKE
BARD1,BRCA1 Associated RING Domain 1,Protein Coding,53,GC02M214725,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1
MBL2,Mannose Binding Lectin 2,Protein Coding,53,GC10M052760,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2
DGKZ,Diacylglycerol Kinase Zeta,Protein Coding,50,GC11P046332,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGKZ
ANGPT2,Angiopoietin 2,Protein Coding,50,GC08M006499,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT2
SOAT1,Sterol O-Acyltransferase 1,Protein Coding,50,GC01P179262,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOAT1
GSTA1,Glutathione S-Transferase Alpha 1,Protein Coding,49,GC06M052791,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTA1
GTF2B,General Transcription Factor IIB,Protein Coding,49,GC01M088853,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2B
GTF2H1,General Transcription Factor IIH Subunit 1,Protein Coding,49,GC11P018343,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2H1
NFYA,Nuclear Transcription Factor Y Subunit Alpha,Protein Coding,47,GC06P042629,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFYA
GSTA2,Glutathione S-Transferase Alpha 2,Protein Coding,47,GC06M052750,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTA2
GSTA4,Glutathione S-Transferase Alpha 4,Protein Coding,47,GC06M052950,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTA4
PIAS3,Protein Inhibitor Of Activated STAT 3,Protein Coding,46,GC01M145848,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS3
TTF2,Transcription Termination Factor 2,Protein Coding,46,GC01P117060,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTF2
KDELR2,KDEL Endoplasmic Reticulum Protein Retention Receptor 2,Protein Coding,44,GC07M006485,1.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDELR2
INSR,Insulin Receptor,Protein Coding,61,GC19M007112,1.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR
SOD1,Superoxide Dismutase 1,Protein Coding,59,GC21P031659,1.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1
HSD17B3,Hydroxysteroid 17-Beta Dehydrogenase 3,Protein Coding,54,GC09M096236,1.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B3
H6PD,Hexose-6-Phosphate Dehydrogenase/Glucose 1-Dehydrogenase,Protein Coding,49,GC01P009294,1.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H6PD
BLZF1,Basic Leucine Zipper Nuclear Factor 1,Protein Coding,44,GC01P169337,1.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLZF1
CCHCR1,Coiled-Coil Alpha-Helical Rod Protein 1,Protein Coding,44,GC06M031110,1.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCHCR1
IGF1R,Insulin Like Growth Factor 1 Receptor,Protein Coding,62,GC15P098648,1.57,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R
EGF,Epidermal Growth Factor,Protein Coding,58,GC04P109912,1.57,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
NR1H4,Nuclear Receptor Subfamily 1 Group H Member 4,Protein Coding,55,GC12P100473,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H4
POU5F1,POU Class 5 Homeobox 1,Protein Coding,53,GC06M031136,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU5F1
TCF7L2,Transcription Factor 7 Like 2,Protein Coding,53,GC10P112950,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L2
CEBPA,CCAAT Enhancer Binding Protein Alpha,Protein Coding,52,GC19M033299,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPA
ISL1,ISL LIM Homeobox 1,Protein Coding,52,GC05P051383,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISL1
CR1,Complement C3b/C4b Receptor 1 (Knops Blood Group),Protein Coding,51,GC01P207496,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CR1
CR2,Complement C3d Receptor 2,Protein Coding,51,GC01P207454,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CR2
TAP2,"Transporter 2, ATP Binding Cassette Subfamily B Member",Protein Coding,51,GC06M032789,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAP2
HTT,Huntingtin,Protein Coding,50,GC04P003041,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTT
SOX3,SRY-Box 3,Protein Coding,50,GC0XM140502,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX3
VAV2,Vav Guanine Nucleotide Exchange Factor 2,Protein Coding,49,GC09M133761,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAV2
CREB3,CAMP Responsive Element Binding Protein 3,Protein Coding,44,GC09P035722,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB3
SOX8,SRY-Box 8,Protein Coding,44,GC16P000981,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX8
TBXT,T-Box Transcription Factor T,Protein Coding,38,GC06M166158,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBXT
CFAP20,Cilia And Flagella Associated Protein 20,Protein Coding,36,GC16M058113,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFAP20
LOC108961161,POU5F1 5' Regulatory Region,Uncategorized,3,GC06U903606,1.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108961161
ALOX5,Arachidonate 5-Lipoxygenase,Protein Coding,55,GC10P045338,1.55,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5
PTGER2,Prostaglandin E Receptor 2,Protein Coding,54,GC14P052314,1.55,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER2
TNF,Tumor Necrosis Factor,Protein Coding,59,GC06P032186,1.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
DHRS9,Dehydrogenase/Reductase 9,Protein Coding,42,GC02P169064,1.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHRS9
FSHR,Follicle Stimulating Hormone Receptor,Protein Coding,55,GC02M048866,1.48,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHR
IL6,Interleukin 6,Protein Coding,55,GC07P022765,1.48,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
IGFBP4,Insulin Like Growth Factor Binding Protein 4,Protein Coding,49,GC17P040443,1.48,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP4
COMT,Catechol-O-Methyltransferase,Protein Coding,58,GC22P019941,1.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT
ACOT9,Acyl-CoA Thioesterase 9,Protein Coding,43,GC0XM023629,1.45,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT9
GSR,Glutathione-Disulfide Reductase,Protein Coding,55,GC08M030655,1.41,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSR
CDKN3,Cyclin Dependent Kinase Inhibitor 3,Protein Coding,47,GC14P054398,1.37,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN3
TCF21,Transcription Factor 21,Protein Coding,42,GC06P133833,1.37,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF21
ABCA1,ATP Binding Cassette Subfamily A Member 1,Protein Coding,55,GC09M104781,1.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1
NR3C2,Nuclear Receptor Subfamily 3 Group C Member 2,Protein Coding,55,GC04M148078,1.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C2
NPPA,Natriuretic Peptide A,Protein Coding,53,GC01M011909,1.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPA
DBI,"Diazepam Binding Inhibitor, Acyl-CoA Binding Protein",Protein Coding,52,GC02P119366,1.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBI
VDAC1,Voltage Dependent Anion Channel 1,Protein Coding,52,GC05M133975,1.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDAC1
ABCG1,ATP Binding Cassette Subfamily G Member 1,Protein Coding,49,GC21P042199,1.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG1
MGARP,Mitochondria Localized Glutamic Acid Rich Protein,Protein Coding,37,GC04M139266,1.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGARP
LOC109029529,HSD3B1 5' Regulatory Region,Uncategorized,3,GC01U905684,1.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109029529
CYP2C19,Cytochrome P450 Family 2 Subfamily C Member 19,Protein Coding,55,GC10P094762,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C19
AKR1B1,Aldo-Keto Reductase Family 1 Member B,Protein Coding,54,GC07M134442,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1B1
PRKAB1,Protein Kinase AMP-Activated Non-Catalytic Subunit Beta 1,Protein Coding,54,GC12P119632,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAB1
IRS1,Insulin Receptor Substrate 1,Protein Coding,53,GC02M226731,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS1
SREBF2,Sterol Regulatory Element Binding Transcription Factor 2,Protein Coding,50,GC22P041833,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF2
UGT2B15,UDP Glucuronosyltransferase Family 2 Member B15,Protein Coding,49,GC04M068646,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B15
UGT2B17,UDP Glucuronosyltransferase Family 2 Member B17,Protein Coding,48,GC04M068537,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B17
SHBG,Sex Hormone Binding Globulin,Protein Coding,47,GC17P007613,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG
GDF9,Growth Differentiation Factor 9,Protein Coding,46,GC05M132861,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF9
DDX25,DEAD-Box Helicase 25,Protein Coding,46,GC11P125903,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX25
HSD17B12,Hydroxysteroid 17-Beta Dehydrogenase 12,Protein Coding,46,GC11P043702,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B12
ZFYVE9,Zinc Finger FYVE-Type Containing 9,Protein Coding,46,GC01P052142,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFYVE9
HSD17B7P2,Hydroxysteroid 17-Beta Dehydrogenase 7 Pseudogene 2,Pseudogene,19,GC10P038353,1.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B7P2
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,62,GC14M104769,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
JAK2,Janus Kinase 2,Protein Coding,61,GC09P004985,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2
ABCG2,ATP Binding Cassette Subfamily G Member 2 (Junior Blood Group),Protein Coding,58,GC04M088090,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2
PRKAR1A,Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha,Protein Coding,58,GC17P068414,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A
MAPK10,Mitogen-Activated Protein Kinase 10,Protein Coding,57,GC04M085990,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10
G6PD,Glucose-6-Phosphate Dehydrogenase,Protein Coding,56,GC0XM154531,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PD
NOS1,Nitric Oxide Synthase 1,Protein Coding,56,GC12M117169,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1
CYP2C8,Cytochrome P450 Family 2 Subfamily C Member 8,Protein Coding,55,GC10M095038,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C8
IL1B,Interleukin 1 Beta,Protein Coding,55,GC02M112829,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
YY1,YY1 Transcription Factor,Protein Coding,55,GC14P100238,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YY1
CYP27A1,Cytochrome P450 Family 27 Subfamily A Member 1,Protein Coding,53,GC02P218781,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27A1
DUSP1,Dual Specificity Phosphatase 1,Protein Coding,53,GC05M172768,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP1
KRT5,Keratin 5,Protein Coding,53,GC12M052514,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT5
CETP,Cholesteryl Ester Transfer Protein,Protein Coding,52,GC16P056996,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP
PTGER4,Prostaglandin E Receptor 4,Protein Coding,52,GC05P040679,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER4
HSD17B10,Hydroxysteroid 17-Beta Dehydrogenase 10,Protein Coding,52,GC0XM053431,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B10
CANT1,Calcium Activated Nucleotidase 1,Protein Coding,50,GC17M078992,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANT1
ACP1,Acid Phosphatase 1,Protein Coding,50,GC02P000254,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP1
DHRS2,Dehydrogenase/Reductase 2,Protein Coding,44,GC14P024381,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHRS2
GNRH2,Gonadotropin Releasing Hormone 2,Protein Coding,39,GC20P003048,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRH2
CGB3,Chorionic Gonadotropin Subunit Beta 3,Protein Coding,35,GC19M049024,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGB3
MSBP1,Minisatellite Binding Protein 1,Protein Coding,6,GC00U990213,1.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSBP1
EDF1,Endothelial Differentiation Related Factor 1,Protein Coding,46,GC09M136862,1.22,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDF1
CYP27B1,Cytochrome P450 Family 27 Subfamily B Member 1,Protein Coding,53,GC12M057757,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27B1
GHR,Growth Hormone Receptor,Protein Coding,53,GC05P042429,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHR
ODC1,Ornithine Decarboxylase 1,Protein Coding,53,GC02M010432,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ODC1
CUBN,Cubilin,Protein Coding,52,GC10M016906,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUBN
ADCY10,Adenylate Cyclase 10,Protein Coding,51,GC01M167778,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY10
NNT,Nicotinamide Nucleotide Transhydrogenase,Protein Coding,50,GC05P043638,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NNT
NFE2L1,"Nuclear Factor, Erythroid 2 Like 1",Protein Coding,49,GC17P048049,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L1
YME1L1,YME1 Like 1 ATPase,Protein Coding,48,GC10M027110,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YME1L1
CAMP,Cathelicidin Antimicrobial Peptide,Protein Coding,47,GC03P048227,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMP
HSD17B6,Hydroxysteroid 17-Beta Dehydrogenase 6,Protein Coding,47,GC12P056752,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B6
ZFP36L1,ZFP36 Ring Finger Protein Like 1,Protein Coding,47,GC14M068787,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFP36L1
TOMM20,Translocase Of Outer Mitochondrial Membrane 20,Protein Coding,46,GC01M235109,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM20
NUCB2,Nucleobindin 2,Protein Coding,45,GC11P017212,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUCB2
RNLS,"Renalase, FAD Dependent Amine Oxidase",Protein Coding,44,GC10M088180,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNLS
STX17,Syntaxin 17,Protein Coding,42,GC09P099906,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX17
TOMM22,Translocase Of Outer Mitochondrial Membrane 22,Protein Coding,42,GC22P038681,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM22
EFS,Embryonal Fyn-Associated Substrate,Protein Coding,41,GC14M023356,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFS
AZIN2,Antizyme Inhibitor 2,Protein Coding,41,GC01P033081,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AZIN2
HIST2H3C,Histone Cluster 2 H3 Family Member C,Protein Coding,37,GC01M149839,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIST2H3C
CGB7,Chorionic Gonadotropin Subunit Beta 7,Protein Coding,36,GC19M049054,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGB7
H19,"H19, Imprinted Maternally Expressed Transcript",RNA Gene,30,GC11M001995,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19
MIR10B,MicroRNA 10b,RNA Gene,22,GC02P176150,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10B
NCOR2,Nuclear Receptor Corepressor 2,Protein Coding,49,GC12M124324,1.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOR2
MAMLD1,Mastermind Like Domain Containing 1,Protein Coding,42,GC0XP150361,1.12,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAMLD1
LEP,Leptin,Protein Coding,54,GC07P128241,1.11,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP
RNF31,Ring Finger Protein 31,Protein Coding,48,GC14P024146,1.11,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF31
CALB2,Calbindin 2,Protein Coding,47,GC16P071392,1.11,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB2
INSL3,Insulin Like 3,Protein Coding,47,GC19M017788,1.11,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSL3
TBP,TATA-Box Binding Protein,Protein Coding,54,GC06P170554,1.11,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBP
CDK5,Cyclin Dependent Kinase 5,Protein Coding,59,GC07M151053,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5
PCNA,Proliferating Cell Nuclear Antigen,Protein Coding,58,GC20M005114,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA
CACNA1D,Calcium Voltage-Gated Channel Subunit Alpha1 D,Protein Coding,55,GC03P053383,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1D
GAPDH,Glyceraldehyde-3-Phosphate Dehydrogenase,Protein Coding,54,GC12P006533,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH
PNLIP,Pancreatic Lipase,Protein Coding,54,GC10P116545,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNLIP
CYP24A1,Cytochrome P450 Family 24 Subfamily A Member 1,Protein Coding,53,GC20M054153,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP24A1
LRP2,LDL Receptor Related Protein 2,Protein Coding,53,GC02M169127,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP2
CYP2R1,Cytochrome P450 Family 2 Subfamily R Member 1,Protein Coding,52,GC11M014856,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2R1
GUCY2C,Guanylate Cyclase 2C,Protein Coding,52,GC12M014612,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCY2C
SULT2B1,Sulfotransferase Family 2B Member 1,Protein Coding,52,GC19P048552,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT2B1
LRAT,Lecithin Retinol Acyltransferase,Protein Coding,51,GC04P154626,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRAT
FOXP2,Forkhead Box P2,Protein Coding,50,GC07P114086,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP2
DLX5,Distal-Less Homeobox 5,Protein Coding,50,GC07M097020,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLX5
PTPN3,"Protein Tyrosine Phosphatase, Non-Receptor Type 3",Protein Coding,50,GC09M109375,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN3
RDH11,Retinol Dehydrogenase 11,Protein Coding,50,GC14M067676,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDH11
GC,"GC, Vitamin D Binding Protein",Protein Coding,49,GC04M071741,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GC
ARNT,Aryl Hydrocarbon Receptor Nuclear Translocator,Protein Coding,49,GC01M150782,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARNT
LGMN,Legumain,Protein Coding,49,GC14M092703,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGMN
SRD5A3,Steroid 5 Alpha-Reductase 3,Protein Coding,49,GC04P055346,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A3
TRRAP,Transformation/Transcription Domain Associated Protein,Protein Coding,49,GC07P098877,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRRAP
PTGES,Prostaglandin E Synthase,Protein Coding,47,GC09M129738,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES
SMARCA5,"SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 5",Protein Coding,47,GC04P143513,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA5
DLX6,Distal-Less Homeobox 6,Protein Coding,46,GC07P097005,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLX6
CLPS,Colipase,Protein Coding,46,GC06M038812,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPS
SMARCA1,"SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 1",Protein Coding,46,GC0XM129447,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA1
ACOT12,Acyl-CoA Thioesterase 12,Protein Coding,44,GC05M081329,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT12
RBP2,Retinol Binding Protein 2,Protein Coding,44,GC03M139452,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP2
HIST1H3A,Histone Cluster 1 H3 Family Member A,Protein Coding,43,GC06P026020,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIST1H3A
PLB1,Phospholipase B1,Protein Coding,42,GC02P028460,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLB1
BCO1,Beta-Carotene Oxygenase 1,Protein Coding,41,GC16P081238,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCO1
ALPG,"Alkaline Phosphatase, Germ Cell",Protein Coding,38,GC02P232407,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPG
TEX261,Testis Expressed 261,Protein Coding,38,GC02M070985,1.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEX261
VDR,Vitamin D Receptor,Protein Coding,57,GC12M047841,1.07,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR
BMP4,Bone Morphogenetic Protein 4,Protein Coding,55,GC14M053949,1.07,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4
DDX20,DEAD-Box Helicase 20,Protein Coding,48,GC01P111755,1.06,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX20
SFPQ,Splicing Factor Proline And Glutamine Rich,Protein Coding,50,GC01M035176,0.96,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFPQ
LEPR,Leptin Receptor,Protein Coding,55,GC01P065421,0.92,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR
SYP,Synaptophysin,Protein Coding,50,GC0XM049187,0.92,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYP
GATA2,GATA Binding Protein 2,Protein Coding,54,GC03M128479,0.92,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA2
CEL,Carboxyl Ester Lipase,Protein Coding,53,GC09P133061,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEL
KLF4,Kruppel Like Factor 4,Protein Coding,52,GC09M107484,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF4
UBE2D1,Ubiquitin Conjugating Enzyme E2 D1,Protein Coding,52,GC10P058334,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D1
P2RY2,Purinergic Receptor P2Y2,Protein Coding,51,GC11P073217,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RY2
ADCY7,Adenylate Cyclase 7,Protein Coding,50,GC16P050244,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY7
SIAH2,Siah E3 Ubiquitin Protein Ligase 2,Protein Coding,49,GC03M150741,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAH2
CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,46,GC04P073740,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
KLF13,Kruppel Like Factor 13,Protein Coding,46,GC15P031326,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF13
RXFP3,Relaxin Family Peptide Receptor 3,Protein Coding,46,GC05P033937,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXFP3
STC1,Stanniocalcin 1,Protein Coding,46,GC08M023841,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STC1
RLN3,Relaxin 3,Protein Coding,43,GC19P014029,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RLN3
